"Step","ruby-fire-12 - metrics/precision","ruby-fire-12 - metrics/precision__MIN","ruby-fire-12 - metrics/precision__MAX","ruby-fire-12 - metrics/recall","ruby-fire-12 - metrics/recall__MIN","ruby-fire-12 - metrics/recall__MAX"
"0","0.02050976632525787","0.02050976632525787","0.02050976632525787","0.1034342709915297","0.1034342709915297","0.1034342709915297"
"1","0.17100984996564028","0.17100984996564028","0.17100984996564028","0.26626158359526403","0.26626158359526403","0.26626158359526403"
"2","0.2068988163606114","0.2068988163606114","0.2068988163606114","0.4468567349673391","0.4468567349673391","0.4468567349673391"
"3","0.2204055296748133","0.2204055296748133","0.2204055296748133","0.6373541089585041","0.6373541089585041","0.6373541089585041"
"4","0.35495290526573986","0.35495290526573986","0.35495290526573986","0.6349786971419266","0.6349786971419266","0.6349786971419266"
"5","0.4737673529016089","0.4737673529016089","0.4737673529016089","0.7060290071380778","0.7060290071380778","0.7060290071380778"
"6","0.5312921804094765","0.5312921804094765","0.5312921804094765","0.7389049062532208","0.7389049062532208","0.7389049062532208"
"7","0.6251200455558689","0.6251200455558689","0.6251200455558689","0.7393600827868393","0.7393600827868393","0.7393600827868393"
"8","0.6931413071224367","0.6931413071224367","0.6931413071224367","0.7056904218788347","0.7056904218788347","0.7056904218788347"
"9","0.6988032433864051","0.6988032433864051","0.6988032433864051","0.7457017063313911","0.7457017063313911","0.7457017063313911"
"10","0.8393450738867901","0.8393450738867901","0.8393450738867901","0.7822442006567033","0.7822442006567033","0.7822442006567033"
"11","0.8737522252944571","0.8737522252944571","0.8737522252944571","0.8295449205397739","0.8295449205397739","0.8295449205397739"
"12","0.8835735977077741","0.8835735977077741","0.8835735977077741","0.8532483658815263","0.8532483658815263","0.8532483658815263"
"13","0.8970419639131304","0.8970419639131304","0.8970419639131304","0.8557270563483841","0.8557270563483841","0.8557270563483841"
"14","0.8587503718550197","0.8587503718550197","0.8587503718550197","0.8013705802536334","0.8013705802536334","0.8013705802536334"
"15","0.7502706387493813","0.7502706387493813","0.7502706387493813","0.6792219732291161","0.6792219732291161","0.6792219732291161"
